
2017-02-26T21:36:20.806 : addOrder: Order Number. 1 |Order Date: 2018-12-12 |Client Name: 1 |State: PA |State Tax: 6.75 |Product: Laminate |Area: 1 |Material Cost: 1.75 |Labor Cost: 2.10 |Total Material Cost: 1.75 |Total Labor Cost: 2.10 |Total Tax: 0.259875 |Total Cost: 4.109875
2017-02-27T09:34:25.141 : removeOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:35:16.180 : removeOrder: Order Number. 99 |Order Date: 2018-01-01 |Client Name: Big Pappa |State: PA |State Tax: 6.75 |Product: Wood |Area: 1 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5.15 |Total Labor Cost: 4.75 |Total Tax: 0.6930 |Total Cost: 10.5930
2017-02-27T09:37:29.894 : removeOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:38:16.212 : removeOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:38:52.526 : removeOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:39:12.377 : removeOrder: Order Number. 1 |Order Date: 2060-06-06 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:39:55.914 : removeOrder: Order Number. 99 |Order Date: 2018-01-01 |Client Name: Big Pappa |State: PA |State Tax: 6.75 |Product: Wood |Area: 1 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5.15 |Total Labor Cost: 4.75 |Total Tax: 0.6930 |Total Cost: 10.5930
2017-02-27T09:41:39.704 : addOrder: Order Number. 213 |Order Date: 2017-03-15 |Client Name: Tom |State: IN |State Tax: 6.00 |Product: Carpet |Area: 60 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 135.00 |Total Labor Cost: 126.00 |Total Tax: 15.660000 |Total Cost: 276.660000
2017-02-27T09:42:42.650 : addOrder: Order Number. 666 |Order Date: 2017-03-15 |Client Name: Tim |State: MI |State Tax: 5.75 |Product: Laminate |Area: 200 |Material Cost: 1.75 |Labor Cost: 2.10 |Total Material Cost: 350.00 |Total Labor Cost: 420.00 |Total Tax: 44.275000 |Total Cost: 814.275000
2017-02-27T09:43:38.333 : removeOrder: Order Number. 213 |Order Date: 2017-03-15 |Client Name: Tom |State: IN |State Tax: 6.00 |Product: Carpet |Area: 60 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 135.00 |Total Labor Cost: 126.00 |Total Tax: 15.660000 |Total Cost: 276.660000
2017-02-27T09:44:09.506 : removeOrder: Order Number. 666 |Order Date: 2017-03-15 |Client Name: Tim |State: MI |State Tax: 5.75 |Product: Laminate |Area: 200 |Material Cost: 1.75 |Labor Cost: 2.10 |Total Material Cost: 350.00 |Total Labor Cost: 420.00 |Total Tax: 44.275000 |Total Cost: 814.275000
2017-02-27T09:45:31.312 : addOrder: Order Number. 669 |Order Date: 2060-06-06 |Client Name: Sata |State: OH |State Tax: 6.25 |Product: Carpet |Area: 666 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 1498.50 |Total Labor Cost: 1398.60 |Total Tax: 181.068750 |Total Cost: 3078.168750
2017-02-27T09:46:27.803 : addOrder: Order Number. 66 |Order Date: 2060-06-06 |Client Name: Bob Burger |State: IN |State Tax: 6.00 |Product: Wood |Area: 66 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 339.90 |Total Labor Cost: 313.50 |Total Tax: 39.204000 |Total Cost: 692.604000
2017-02-27T09:48:30.548 : addOrder: Order Number. 999 |Order Date: 2018-03-03 |Client Name: Honey |State: IN |State Tax: 6.00 |Product: Wood |Area: 1000 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5150.00 |Total Labor Cost: 4750.00 |Total Tax: 594.000000 |Total Cost: 10494.000000
2017-02-27T09:49:38.131 : addOrder: Order Number. 123 |Order Date: 2018-03-03 |Client Name: Linda |State: MI |State Tax: 5.75 |Product: Wood |Area: 999 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5144.85 |Total Labor Cost: 4745.25 |Total Tax: 568.680750 |Total Cost: 10458.780750
2017-02-27T09:54:37.519 : addOrder: Order Number. 555 |Order Date: 2018-03-03 |Client Name: Kimberly |State: IN |State Tax: 6.00 |Product: Tile |Area: 500 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 1750.00 |Total Labor Cost: 2075.00 |Total Tax: 229.500000 |Total Cost: 4054.500000
2017-02-27T09:55:52.511 : addOrder: Order Number. 900 |Order Date: 2090-09-09 |Client Name: John  |State: IN |State Tax: 6.00 |Product: Tile |Area: 900 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 3150.00 |Total Labor Cost: 3735.00 |Total Tax: 413.100000 |Total Cost: 7298.100000
2017-02-27T10:27:38.073 : addOrder: Order Number. 520 |Order Date: 2018-12-12 |Client Name: Rice Crisp |State: OH |State Tax: 6.25 |Product: Tile |Area: 20 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 70.00 |Total Labor Cost: 83.00 |Total Tax: 9.562500 |Total Cost: 162.562500
